Nombres complexes. Trigonom&eacute;trie. Fonctions et sommations uselles;
Equations differentielles;
G&eacute;om&eacute;trie &eacute;l&eacute;mentaire du plan et de l'espace;
Courbes param&eacute;tr&eacute;es. Coniques;
Calcul local : limites, relations, d&eacute;veloppements;
D&eacute;rivation;
Alg&egrave;bre lin&eacute;aire et calcul matriciel: op&eacute;rations, d&eacute;terminant;
Polynomes;
Fractions rationnelles. D&eacute;composition en &eacute;l&eacute;ments simples;
Int&eacute;gration. Sommes de Riemann. Primitives.;
Syst&egrave;me d'&eacute;quations lin&eacute;aires;
Alg&eacute;bre lin&eacute;aire et g&eacute;om&eacute;trie euclidienne;
Vocabulaire et syntaxe. Ensembles
